uri,fullName,firstName,lastName,image,memberCode,houses,houseCodes,parties,constituencies,representTypes,committees
https://data.oireachtas.ie/ie/oireachtas/member/id/Garret-Ahearn.S.2020-03-30,Garret Ahearn,Garret,Ahearn,False,Garret-Ahearn.S.2020-03-30,27th Seanad,seanad,Fine Gael,Administrative Panel,panel,
https://data.oireachtas.ie/ie/oireachtas/member/id/Ciarán-Ahern.D.2024-11-29,Ciarán Ahern,Ciarán,Ahern,False,Ciarán-Ahern.D.2024-11-29,34th Dáil,dail,Labour Party,Dublin South-West,constituency,
https://data.oireachtas.ie/ie/oireachtas/member/id/William-Aird.D.2024-11-29,William Aird,William,Aird,False,William-Aird.D.2024-11-29,34th Dáil,dail,Fine Gael,Laois,constituency,
https://data.oireachtas.ie/ie/oireachtas/member/id/Chris-Andrews.D.2007-06-14,Chris Andrews,Chris,Andrews,False,Chris-Andrews.D.2007-06-14,27th Seanad,seanad,Sinn Féin,Labour Panel,panel,
https://data.oireachtas.ie/ie/oireachtas/member/id/Catherine-Ardagh.S.2016-04-25,Catherine Ardagh,Catherine,Ardagh,False,Catherine-Ardagh.S.2016-04-25,34th Dáil,dail,Fianna Fáil,Dublin South-Central,constituency,
https://data.oireachtas.ie/ie/oireachtas/member/id/Ivana-Bacik.S.2007-07-23,Ivana Bacik,Ivana,Bacik,False,Ivana-Bacik.S.2007-07-23,34th Dáil,dail,Labour Party,Dublin Bay South,constituency,
https://data.oireachtas.ie/ie/oireachtas/member/id/Cathy-Bennett.D.2024-11-29,Cathy Bennett,Cathy,Bennett,False,Cathy-Bennett.D.2024-11-29,34th Dáil,dail,Sinn Féin,Cavan-Monaghan,constituency,
https://data.oireachtas.ie/ie/oireachtas/member/id/Frances-Black.S.2016-04-25,Frances Black,Frances,Black,False,Frances-Black.S.2016-04-25,27th Seanad,seanad,Independent,Industrial and Commercial Panel,panel,
https://data.oireachtas.ie/ie/oireachtas/member/id/Niall-Blaney.D.2002-06-06,Niall Blaney,Niall,Blaney,False,Niall-Blaney.D.2002-06-06,27th Seanad,seanad,Fianna Fáil,Agricultural Panel,panel,
https://data.oireachtas.ie/ie/oireachtas/member/id/Grace-Boland.D.2024-11-29,Grace Boland,Grace,Boland,False,Grace-Boland.D.2024-11-29,34th Dáil,dail,Fine Gael,Dublin Fingal West,constituency,
